Container after function stores 700 shapes:
Sphere: r = 1; Density = 22; SurfaceArea = 12.566370614359172
Tetrahedron: a = 5; Density = 8; SurfaceArea = 43.30127018922193
Tetrahedron: a = 26; Density = 30; SurfaceArea = 1170.866345916561
Tetrahedron: a = 6; Density = 9; SurfaceArea = 62.35382907247958
Tetrahedron: a = 20; Density = 17; SurfaceArea = 692.8203230275509
Parallelepiped: a = 7, b = 29, c = 18; Density = 14; SurfaceArea = 1702.0
Tetrahedron: a = 26; Density = 20; SurfaceArea = 1170.866345916561
Parallelepiped: a = 24, b = 3, c = 17; Density = 11; SurfaceArea = 1062.0
Parallelepiped: a = 6, b = 30, c = 2; Density = 3; SurfaceArea = 504.0
Parallelepiped: a = 16, b = 6, c = 27; Density = 11; SurfaceArea = 1380.0
Tetrahedron: a = 9; Density = 6; SurfaceArea = 140.29611541307906
Tetrahedron: a = 14; Density = 24; SurfaceArea = 339.4819582834999
Tetrahedron: a = 26; Density = 19; SurfaceArea = 1170.866345916561
Sphere: r = 5; Density = 23; SurfaceArea = 314.1592653589793
Sphere: r = 8; Density = 18; SurfaceArea = 804.247719318987
Sphere: r = 8; Density = 14; SurfaceArea = 804.247719318987
Parallelepiped: a = 2, b = 29, c = 3; Density = 26; SurfaceArea = 302.0
Sphere: r = 2; Density = 10; SurfaceArea = 50.26548245743669
Tetrahedron: a = 8; Density = 2; SurfaceArea = 110.85125168440814
Tetrahedron: a = 25; Density = 1; SurfaceArea = 1082.5317547305483
Tetrahedron: a = 22; Density = 28; SurfaceArea = 838.3125908633366
Tetrahedron: a = 22; Density = 8; SurfaceArea = 838.3125908633366
Parallelepiped: a = 30, b = 14, c = 1; Density = 30; SurfaceArea = 928.0
Parallelepiped: a = 3, b = 9, c = 17; Density = 22; SurfaceArea = 462.0
Tetrahedron: a = 4; Density = 4; SurfaceArea = 27.712812921102035
Sphere: r = 3; Density = 24; SurfaceArea = 113.09733552923255
Parallelepiped: a = 6, b = 6, c = 5; Density = 26; SurfaceArea = 192.0
Parallelepiped: a = 10, b = 25, c = 17; Density = 26; SurfaceArea = 1690.0
Tetrahedron: a = 3; Density = 27; SurfaceArea = 15.588457268119894
Sphere: r = 3; Density = 12; SurfaceArea = 113.09733552923255
Parallelepiped: a = 10, b = 18, c = 28; Density = 4; SurfaceArea = 1928.0
Parallelepiped: a = 20, b = 23, c = 9; Density = 17; SurfaceArea = 1694.0
Sphere: r = 6; Density = 26; SurfaceArea = 452.3893421169302
Parallelepiped: a = 4, b = 23, c = 24; Density = 27; SurfaceArea = 1480.0
Parallelepiped: a = 7, b = 28, c = 16; Density = 25; SurfaceArea = 1512.0
Tetrahedron: a = 18; Density = 24; SurfaceArea = 561.1844616523163
Parallelepiped: a = 6, b = 7, c = 4; Density = 13; SurfaceArea = 188.0
Parallelepiped: a = 10, b = 15, c = 25; Density = 8; SurfaceArea = 1550.0
Parallelepiped: a = 30, b = 3, c = 8; Density = 20; SurfaceArea = 708.0
Tetrahedron: a = 20; Density = 10; SurfaceArea = 692.8203230275509
Parallelepiped: a = 26, b = 7, c = 8; Density = 21; SurfaceArea = 892.0
Sphere: r = 9; Density = 13; SurfaceArea = 1017.8760197630929
Parallelepiped: a = 13, b = 24, c = 15; Density = 13; SurfaceArea = 1734.0
Sphere: r = 2; Density = 20; SurfaceArea = 50.26548245743669
Parallelepiped: a = 13, b = 17, c = 1; Density = 27; SurfaceArea = 502.0
Tetrahedron: a = 11; Density = 16; SurfaceArea = 209.57814771583415
Tetrahedron: a = 20; Density = 2; SurfaceArea = 692.8203230275509
Tetrahedron: a = 29; Density = 13; SurfaceArea = 1456.6547291654258
Parallelepiped: a = 8, b = 9, c = 25; Density = 29; SurfaceArea = 994.0
Parallelepiped: a = 13, b = 22, c = 16; Density = 26; SurfaceArea = 1692.0
Tetrahedron: a = 9; Density = 11; SurfaceArea = 140.29611541307906
Tetrahedron: a = 19; Density = 18; SurfaceArea = 625.2703415323647
Tetrahedron: a = 15; Density = 3; SurfaceArea = 389.71143170299734
Sphere: r = 6; Density = 6; SurfaceArea = 452.3893421169302
Tetrahedron: a = 24; Density = 22; SurfaceArea = 997.6612651596732
Parallelepiped: a = 8, b = 13, c = 9; Density = 24; SurfaceArea = 586.0
Sphere: r = 3; Density = 26; SurfaceArea = 113.09733552923255
Parallelepiped: a = 5, b = 18, c = 1; Density = 30; SurfaceArea = 226.0
Sphere: r = 9; Density = 23; SurfaceArea = 1017.8760197630929
Parallelepiped: a = 6, b = 28, c = 10; Density = 16; SurfaceArea = 1016.0
Parallelepiped: a = 11, b = 7, c = 7; Density = 30; SurfaceArea = 406.0
Parallelepiped: a = 7, b = 24, c = 28; Density = 5; SurfaceArea = 2072.0
Tetrahedron: a = 14; Density = 21; SurfaceArea = 339.4819582834999
Parallelepiped: a = 9, b = 15, c = 18; Density = 6; SurfaceArea = 1134.0
Tetrahedron: a = 11; Density = 28; SurfaceArea = 209.57814771583415
Tetrahedron: a = 28; Density = 27; SurfaceArea = 1357.9278331339997
Parallelepiped: a = 28, b = 2, c = 25; Density = 5; SurfaceArea = 1612.0
Tetrahedron: a = 1; Density = 5; SurfaceArea = 1.7320508075688772
Parallelepiped: a = 19, b = 8, c = 15; Density = 7; SurfaceArea = 1114.0
Parallelepiped: a = 29, b = 11, c = 9; Density = 18; SurfaceArea = 1358.0
Parallelepiped: a = 11, b = 18, c = 2; Density = 10; SurfaceArea = 512.0
Tetrahedron: a = 1; Density = 21; SurfaceArea = 1.7320508075688772
Parallelepiped: a = 8, b = 25, c = 3; Density = 26; SurfaceArea = 598.0
Tetrahedron: a = 13; Density = 27; SurfaceArea = 292.71658647914023
Parallelepiped: a = 5, b = 1, c = 30; Density = 25; SurfaceArea = 370.0
Sphere: r = 8; Density = 26; SurfaceArea = 804.247719318987
Parallelepiped: a = 9, b = 3, c = 23; Density = 6; SurfaceArea = 606.0
Sphere: r = 11; Density = 11; SurfaceArea = 1520.53084433746
Parallelepiped: a = 14, b = 17, c = 18; Density = 30; SurfaceArea = 1592.0
Tetrahedron: a = 15; Density = 17; SurfaceArea = 389.71143170299734
Parallelepiped: a = 23, b = 23, c = 9; Density = 6; SurfaceArea = 1886.0
Tetrahedron: a = 4; Density = 19; SurfaceArea = 27.712812921102035
Tetrahedron: a = 9; Density = 3; SurfaceArea = 140.29611541307906
Tetrahedron: a = 7; Density = 11; SurfaceArea = 84.87048957087498
Tetrahedron: a = 16; Density = 15; SurfaceArea = 443.40500673763256
Tetrahedron: a = 19; Density = 10; SurfaceArea = 625.2703415323647
Tetrahedron: a = 2; Density = 21; SurfaceArea = 6.928203230275509
Sphere: r = 10; Density = 5; SurfaceArea = 1256.6370614359173
Tetrahedron: a = 28; Density = 6; SurfaceArea = 1357.9278331339997
Sphere: r = 3; Density = 11; SurfaceArea = 113.09733552923255
Parallelepiped: a = 25, b = 8, c = 14; Density = 18; SurfaceArea = 1324.0
Sphere: r = 6; Density = 1; SurfaceArea = 452.3893421169302
Tetrahedron: a = 8; Density = 15; SurfaceArea = 110.85125168440814
Tetrahedron: a = 9; Density = 21; SurfaceArea = 140.29611541307906
Tetrahedron: a = 2; Density = 1; SurfaceArea = 6.928203230275509
Parallelepiped: a = 2, b = 3, c = 3; Density = 13; SurfaceArea = 42.0
Tetrahedron: a = 16; Density = 13; SurfaceArea = 443.40500673763256
Tetrahedron: a = 10; Density = 2; SurfaceArea = 173.20508075688772
Sphere: r = 8; Density = 30; SurfaceArea = 804.247719318987
Tetrahedron: a = 15; Density = 25; SurfaceArea = 389.71143170299734
Parallelepiped: a = 10, b = 12, c = 4; Density = 9; SurfaceArea = 416.0
Tetrahedron: a = 5; Density = 30; SurfaceArea = 43.30127018922193
Parallelepiped: a = 10, b = 30, c = 16; Density = 26; SurfaceArea = 1880.0
Tetrahedron: a = 17; Density = 21; SurfaceArea = 500.5626833874055
Sphere: r = 8; Density = 21; SurfaceArea = 804.247719318987
Parallelepiped: a = 22, b = 11, c = 19; Density = 10; SurfaceArea = 1738.0
Tetrahedron: a = 7; Density = 23; SurfaceArea = 84.87048957087498
Tetrahedron: a = 3; Density = 19; SurfaceArea = 15.588457268119894
Tetrahedron: a = 3; Density = 23; SurfaceArea = 15.588457268119894
Tetrahedron: a = 22; Density = 13; SurfaceArea = 838.3125908633366
Tetrahedron: a = 9; Density = 17; SurfaceArea = 140.29611541307906
Tetrahedron: a = 29; Density = 8; SurfaceArea = 1456.6547291654258
Sphere: r = 7; Density = 7; SurfaceArea = 615.7521601035994
Sphere: r = 2; Density = 9; SurfaceArea = 50.26548245743669
Tetrahedron: a = 13; Density = 21; SurfaceArea = 292.71658647914023
Tetrahedron: a = 16; Density = 25; SurfaceArea = 443.40500673763256
Parallelepiped: a = 3, b = 15, c = 1; Density = 4; SurfaceArea = 126.0
Tetrahedron: a = 20; Density = 22; SurfaceArea = 692.8203230275509
Parallelepiped: a = 3, b = 3, c = 5; Density = 6; SurfaceArea = 78.0
Tetrahedron: a = 12; Density = 26; SurfaceArea = 249.4153162899183
Tetrahedron: a = 21; Density = 17; SurfaceArea = 763.8344061378748
Tetrahedron: a = 9; Density = 4; SurfaceArea = 140.29611541307906
Parallelepiped: a = 22, b = 6, c = 27; Density = 26; SurfaceArea = 1776.0
Tetrahedron: a = 18; Density = 30; SurfaceArea = 561.1844616523163
Parallelepiped: a = 24, b = 6, c = 30; Density = 30; SurfaceArea = 2088.0
Parallelepiped: a = 19, b = 1, c = 9; Density = 24; SurfaceArea = 398.0
Sphere: r = 7; Density = 13; SurfaceArea = 615.7521601035994
Sphere: r = 11; Density = 2; SurfaceArea = 1520.53084433746
Tetrahedron: a = 2; Density = 5; SurfaceArea = 6.928203230275509
Tetrahedron: a = 22; Density = 19; SurfaceArea = 838.3125908633366
Tetrahedron: a = 15; Density = 4; SurfaceArea = 389.71143170299734
Tetrahedron: a = 15; Density = 4; SurfaceArea = 389.71143170299734
Sphere: r = 2; Density = 7; SurfaceArea = 50.26548245743669
Parallelepiped: a = 13, b = 22, c = 15; Density = 29; SurfaceArea = 1622.0
Tetrahedron: a = 28; Density = 25; SurfaceArea = 1357.9278331339997
Parallelepiped: a = 19, b = 18, c = 5; Density = 15; SurfaceArea = 1054.0
Parallelepiped: a = 6, b = 20, c = 18; Density = 25; SurfaceArea = 1176.0
Tetrahedron: a = 20; Density = 2; SurfaceArea = 692.8203230275509
Parallelepiped: a = 25, b = 16, c = 8; Density = 13; SurfaceArea = 1456.0
Tetrahedron: a = 3; Density = 11; SurfaceArea = 15.588457268119894
Tetrahedron: a = 12; Density = 11; SurfaceArea = 249.4153162899183
Tetrahedron: a = 16; Density = 25; SurfaceArea = 443.40500673763256
Parallelepiped: a = 29, b = 2, c = 17; Density = 15; SurfaceArea = 1170.0
Tetrahedron: a = 15; Density = 23; SurfaceArea = 389.71143170299734
Parallelepiped: a = 5, b = 12, c = 30; Density = 4; SurfaceArea = 1140.0
Sphere: r = 8; Density = 4; SurfaceArea = 804.247719318987
Parallelepiped: a = 13, b = 19, c = 12; Density = 2; SurfaceArea = 1262.0
Tetrahedron: a = 19; Density = 11; SurfaceArea = 625.2703415323647
Tetrahedron: a = 24; Density = 11; SurfaceArea = 997.6612651596732
Tetrahedron: a = 7; Density = 15; SurfaceArea = 84.87048957087498
Parallelepiped: a = 23, b = 3, c = 23; Density = 7; SurfaceArea = 1334.0
Parallelepiped: a = 2, b = 6, c = 16; Density = 13; SurfaceArea = 280.0
Tetrahedron: a = 12; Density = 29; SurfaceArea = 249.4153162899183
Tetrahedron: a = 28; Density = 17; SurfaceArea = 1357.9278331339997
Tetrahedron: a = 22; Density = 10; SurfaceArea = 838.3125908633366
Sphere: r = 2; Density = 30; SurfaceArea = 50.26548245743669
Parallelepiped: a = 3, b = 28, c = 2; Density = 23; SurfaceArea = 292.0
Tetrahedron: a = 13; Density = 5; SurfaceArea = 292.71658647914023
Sphere: r = 2; Density = 28; SurfaceArea = 50.26548245743669
Sphere: r = 1; Density = 29; SurfaceArea = 12.566370614359172
Parallelepiped: a = 10, b = 15, c = 19; Density = 8; SurfaceArea = 1250.0
Sphere: r = 2; Density = 13; SurfaceArea = 50.26548245743669
Tetrahedron: a = 4; Density = 15; SurfaceArea = 27.712812921102035
Parallelepiped: a = 14, b = 6, c = 20; Density = 27; SurfaceArea = 968.0
Tetrahedron: a = 9; Density = 9; SurfaceArea = 140.29611541307906
Tetrahedron: a = 29; Density = 18; SurfaceArea = 1456.6547291654258
Tetrahedron: a = 6; Density = 3; SurfaceArea = 62.35382907247958
Parallelepiped: a = 22, b = 28, c = 6; Density = 8; SurfaceArea = 1832.0
Tetrahedron: a = 7; Density = 18; SurfaceArea = 84.87048957087498
Parallelepiped: a = 6, b = 7, c = 29; Density = 9; SurfaceArea = 838.0
Tetrahedron: a = 10; Density = 23; SurfaceArea = 173.20508075688772
Tetrahedron: a = 28; Density = 10; SurfaceArea = 1357.9278331339997
Parallelepiped: a = 6, b = 23, c = 25; Density = 13; SurfaceArea = 1726.0
Parallelepiped: a = 21, b = 7, c = 13; Density = 13; SurfaceArea = 1022.0
Parallelepiped: a = 2, b = 18, c = 27; Density = 6; SurfaceArea = 1152.0
Tetrahedron: a = 6; Density = 6; SurfaceArea = 62.35382907247958
Tetrahedron: a = 22; Density = 9; SurfaceArea = 838.3125908633366
Tetrahedron: a = 11; Density = 18; SurfaceArea = 209.57814771583415
Tetrahedron: a = 12; Density = 27; SurfaceArea = 249.4153162899183
Tetrahedron: a = 4; Density = 4; SurfaceArea = 27.712812921102035
Sphere: r = 5; Density = 5; SurfaceArea = 314.1592653589793
Tetrahedron: a = 2; Density = 22; SurfaceArea = 6.928203230275509
Tetrahedron: a = 20; Density = 25; SurfaceArea = 692.8203230275509
Parallelepiped: a = 19, b = 6, c = 22; Density = 1; SurfaceArea = 1328.0
Parallelepiped: a = 25, b = 14, c = 14; Density = 12; SurfaceArea = 1792.0
Parallelepiped: a = 13, b = 5, c = 9; Density = 22; SurfaceArea = 454.0
Parallelepiped: a = 19, b = 19, c = 8; Density = 4; SurfaceArea = 1330.0
Tetrahedron: a = 3; Density = 18; SurfaceArea = 15.588457268119894
Tetrahedron: a = 23; Density = 24; SurfaceArea = 916.2548772039361
Tetrahedron: a = 22; Density = 1; SurfaceArea = 838.3125908633366
Tetrahedron: a = 29; Density = 26; SurfaceArea = 1456.6547291654258
Parallelepiped: a = 12, b = 5, c = 16; Density = 17; SurfaceArea = 664.0
Parallelepiped: a = 4, b = 26, c = 27; Density = 20; SurfaceArea = 1828.0
Sphere: r = 8; Density = 24; SurfaceArea = 804.247719318987
Tetrahedron: a = 18; Density = 4; SurfaceArea = 561.1844616523163
Parallelepiped: a = 16, b = 5, c = 16; Density = 11; SurfaceArea = 832.0
Tetrahedron: a = 18; Density = 8; SurfaceArea = 561.1844616523163
Tetrahedron: a = 16; Density = 22; SurfaceArea = 443.40500673763256
Parallelepiped: a = 27, b = 12, c = 17; Density = 12; SurfaceArea = 1974.0
Parallelepiped: a = 1, b = 11, c = 28; Density = 21; SurfaceArea = 694.0
Parallelepiped: a = 17, b = 15, c = 16; Density = 23; SurfaceArea = 1534.0
Sphere: r = 5; Density = 28; SurfaceArea = 314.1592653589793
Tetrahedron: a = 1; Density = 20; SurfaceArea = 1.7320508075688772
Tetrahedron: a = 25; Density = 16; SurfaceArea = 1082.5317547305483
Tetrahedron: a = 18; Density = 25; SurfaceArea = 561.1844616523163
Tetrahedron: a = 4; Density = 2; SurfaceArea = 27.712812921102035
Tetrahedron: a = 15; Density = 7; SurfaceArea = 389.71143170299734
Parallelepiped: a = 24, b = 6, c = 10; Density = 1; SurfaceArea = 888.0
Parallelepiped: a = 24, b = 24, c = 8; Density = 17; SurfaceArea = 1920.0
Sphere: r = 3; Density = 27; SurfaceArea = 113.09733552923255
Tetrahedron: a = 18; Density = 25; SurfaceArea = 561.1844616523163
Parallelepiped: a = 7, b = 22, c = 14; Density = 5; SurfaceArea = 1120.0
Tetrahedron: a = 8; Density = 10; SurfaceArea = 110.85125168440814
Tetrahedron: a = 3; Density = 26; SurfaceArea = 15.588457268119894
Tetrahedron: a = 9; Density = 12; SurfaceArea = 140.29611541307906
Sphere: r = 12; Density = 14; SurfaceArea = 1809.5573684677208
Tetrahedron: a = 29; Density = 14; SurfaceArea = 1456.6547291654258
Tetrahedron: a = 1; Density = 10; SurfaceArea = 1.7320508075688772
Tetrahedron: a = 17; Density = 5; SurfaceArea = 500.5626833874055
Tetrahedron: a = 2; Density = 21; SurfaceArea = 6.928203230275509
Tetrahedron: a = 22; Density = 23; SurfaceArea = 838.3125908633366
Parallelepiped: a = 26, b = 6, c = 19; Density = 24; SurfaceArea = 1528.0
Parallelepiped: a = 16, b = 13, c = 25; Density = 3; SurfaceArea = 1866.0
Tetrahedron: a = 27; Density = 16; SurfaceArea = 1262.6650387177115
Sphere: r = 1; Density = 16; SurfaceArea = 12.566370614359172
Parallelepiped: a = 27, b = 7, c = 2; Density = 5; SurfaceArea = 514.0
Tetrahedron: a = 21; Density = 25; SurfaceArea = 763.8344061378748
Tetrahedron: a = 9; Density = 28; SurfaceArea = 140.29611541307906
Tetrahedron: a = 3; Density = 22; SurfaceArea = 15.588457268119894
Tetrahedron: a = 13; Density = 28; SurfaceArea = 292.71658647914023
Sphere: r = 2; Density = 8; SurfaceArea = 50.26548245743669
Tetrahedron: a = 2; Density = 29; SurfaceArea = 6.928203230275509
Tetrahedron: a = 24; Density = 1; SurfaceArea = 997.6612651596732
Tetrahedron: a = 1; Density = 25; SurfaceArea = 1.7320508075688772
Parallelepiped: a = 19, b = 7, c = 5; Density = 4; SurfaceArea = 526.0
Parallelepiped: a = 8, b = 13, c = 16; Density = 19; SurfaceArea = 880.0
Parallelepiped: a = 28, b = 18, c = 3; Density = 18; SurfaceArea = 1284.0
Tetrahedron: a = 12; Density = 2; SurfaceArea = 249.4153162899183
Sphere: r = 4; Density = 7; SurfaceArea = 201.06192982974676
Tetrahedron: a = 13; Density = 6; SurfaceArea = 292.71658647914023
Sphere: r = 9; Density = 6; SurfaceArea = 1017.8760197630929
Sphere: r = 12; Density = 22; SurfaceArea = 1809.5573684677208
Parallelepiped: a = 6, b = 30, c = 9; Density = 26; SurfaceArea = 1008.0
Sphere: r = 6; Density = 9; SurfaceArea = 452.3893421169302
Tetrahedron: a = 6; Density = 17; SurfaceArea = 62.35382907247958
Parallelepiped: a = 9, b = 4, c = 14; Density = 1; SurfaceArea = 436.0
Tetrahedron: a = 14; Density = 20; SurfaceArea = 339.4819582834999
Parallelepiped: a = 8, b = 20, c = 28; Density = 14; SurfaceArea = 1888.0
Sphere: r = 8; Density = 14; SurfaceArea = 804.247719318987
Sphere: r = 4; Density = 27; SurfaceArea = 201.06192982974676
Sphere: r = 4; Density = 1; SurfaceArea = 201.06192982974676
Parallelepiped: a = 26, b = 10, c = 20; Density = 6; SurfaceArea = 1960.0
Parallelepiped: a = 10, b = 3, c = 4; Density = 21; SurfaceArea = 164.0
Tetrahedron: a = 19; Density = 24; SurfaceArea = 625.2703415323647
Tetrahedron: a = 26; Density = 25; SurfaceArea = 1170.866345916561
Sphere: r = 2; Density = 11; SurfaceArea = 50.26548245743669
Parallelepiped: a = 16, b = 5, c = 3; Density = 23; SurfaceArea = 286.0
Parallelepiped: a = 22, b = 6, c = 19; Density = 19; SurfaceArea = 1328.0
Sphere: r = 5; Density = 18; SurfaceArea = 314.1592653589793
Sphere: r = 3; Density = 4; SurfaceArea = 113.09733552923255
Tetrahedron: a = 7; Density = 25; SurfaceArea = 84.87048957087498
Sphere: r = 5; Density = 6; SurfaceArea = 314.1592653589793
Parallelepiped: a = 19, b = 7, c = 28; Density = 16; SurfaceArea = 1722.0
Parallelepiped: a = 12, b = 23, c = 19; Density = 12; SurfaceArea = 1882.0
Parallelepiped: a = 2, b = 6, c = 14; Density = 30; SurfaceArea = 248.0
Tetrahedron: a = 20; Density = 18; SurfaceArea = 692.8203230275509
Parallelepiped: a = 3, b = 5, c = 12; Density = 21; SurfaceArea = 222.0
Sphere: r = 9; Density = 30; SurfaceArea = 1017.8760197630929
Parallelepiped: a = 26, b = 21, c = 10; Density = 15; SurfaceArea = 2032.0
Sphere: r = 4; Density = 1; SurfaceArea = 201.06192982974676
Tetrahedron: a = 14; Density = 27; SurfaceArea = 339.4819582834999
Parallelepiped: a = 13, b = 21, c = 9; Density = 19; SurfaceArea = 1158.0
Parallelepiped: a = 12, b = 21, c = 8; Density = 26; SurfaceArea = 1032.0
Tetrahedron: a = 10; Density = 10; SurfaceArea = 173.20508075688772
Tetrahedron: a = 17; Density = 2; SurfaceArea = 500.5626833874055
Tetrahedron: a = 4; Density = 15; SurfaceArea = 27.712812921102035
Parallelepiped: a = 30, b = 16, c = 8; Density = 10; SurfaceArea = 1696.0
Tetrahedron: a = 20; Density = 6; SurfaceArea = 692.8203230275509
Parallelepiped: a = 21, b = 14, c = 2; Density = 20; SurfaceArea = 728.0
Parallelepiped: a = 27, b = 10, c = 8; Density = 7; SurfaceArea = 1132.0
Tetrahedron: a = 4; Density = 7; SurfaceArea = 27.712812921102035
Parallelepiped: a = 15, b = 6, c = 2; Density = 17; SurfaceArea = 264.0
Parallelepiped: a = 7, b = 18, c = 17; Density = 27; SurfaceArea = 1102.0
Tetrahedron: a = 3; Density = 13; SurfaceArea = 15.588457268119894
Sphere: r = 7; Density = 26; SurfaceArea = 615.7521601035994
Tetrahedron: a = 22; Density = 26; SurfaceArea = 838.3125908633366
Tetrahedron: a = 14; Density = 2; SurfaceArea = 339.4819582834999
Tetrahedron: a = 20; Density = 11; SurfaceArea = 692.8203230275509
Tetrahedron: a = 29; Density = 21; SurfaceArea = 1456.6547291654258
Sphere: r = 6; Density = 28; SurfaceArea = 452.3893421169302
Tetrahedron: a = 16; Density = 4; SurfaceArea = 443.40500673763256
Tetrahedron: a = 13; Density = 14; SurfaceArea = 292.71658647914023
Sphere: r = 3; Density = 12; SurfaceArea = 113.09733552923255
Tetrahedron: a = 10; Density = 25; SurfaceArea = 173.20508075688772
Tetrahedron: a = 17; Density = 4; SurfaceArea = 500.5626833874055
Tetrahedron: a = 11; Density = 28; SurfaceArea = 209.57814771583415
Tetrahedron: a = 29; Density = 17; SurfaceArea = 1456.6547291654258
Sphere: r = 11; Density = 16; SurfaceArea = 1520.53084433746
Tetrahedron: a = 30; Density = 10; SurfaceArea = 1558.8457268119894
Parallelepiped: a = 3, b = 26, c = 3; Density = 24; SurfaceArea = 330.0
Sphere: r = 6; Density = 14; SurfaceArea = 452.3893421169302
Parallelepiped: a = 13, b = 18, c = 8; Density = 1; SurfaceArea = 964.0
Parallelepiped: a = 11, b = 16, c = 12; Density = 22; SurfaceArea = 1000.0
Sphere: r = 12; Density = 14; SurfaceArea = 1809.5573684677208
Sphere: r = 2; Density = 3; SurfaceArea = 50.26548245743669
Sphere: r = 11; Density = 3; SurfaceArea = 1520.53084433746
Tetrahedron: a = 30; Density = 7; SurfaceArea = 1558.8457268119894
Parallelepiped: a = 20, b = 12, c = 23; Density = 21; SurfaceArea = 1952.0
Sphere: r = 6; Density = 22; SurfaceArea = 452.3893421169302
Tetrahedron: a = 15; Density = 12; SurfaceArea = 389.71143170299734
Tetrahedron: a = 22; Density = 11; SurfaceArea = 838.3125908633366
Tetrahedron: a = 2; Density = 11; SurfaceArea = 6.928203230275509
Tetrahedron: a = 2; Density = 25; SurfaceArea = 6.928203230275509
Parallelepiped: a = 2, b = 28, c = 3; Density = 3; SurfaceArea = 292.0
Parallelepiped: a = 10, b = 18, c = 22; Density = 29; SurfaceArea = 1592.0
Tetrahedron: a = 20; Density = 10; SurfaceArea = 692.8203230275509
Parallelepiped: a = 26, b = 11, c = 13; Density = 25; SurfaceArea = 1534.0
Parallelepiped: a = 1, b = 22, c = 7; Density = 26; SurfaceArea = 366.0
Sphere: r = 5; Density = 14; SurfaceArea = 314.1592653589793
Tetrahedron: a = 5; Density = 4; SurfaceArea = 43.30127018922193
Parallelepiped: a = 2, b = 24, c = 20; Density = 28; SurfaceArea = 1136.0
Sphere: r = 7; Density = 4; SurfaceArea = 615.7521601035994
Parallelepiped: a = 5, b = 21, c = 17; Density = 17; SurfaceArea = 1094.0
Tetrahedron: a = 27; Density = 18; SurfaceArea = 1262.6650387177115
Tetrahedron: a = 7; Density = 1; SurfaceArea = 84.87048957087498
Parallelepiped: a = 1, b = 21, c = 28; Density = 18; SurfaceArea = 1274.0
Sphere: r = 1; Density = 27; SurfaceArea = 12.566370614359172
Parallelepiped: a = 28, b = 3, c = 23; Density = 10; SurfaceArea = 1594.0
Parallelepiped: a = 17, b = 11, c = 15; Density = 15; SurfaceArea = 1214.0
Parallelepiped: a = 25, b = 13, c = 9; Density = 17; SurfaceArea = 1334.0
Parallelepiped: a = 6, b = 23, c = 16; Density = 18; SurfaceArea = 1204.0
Sphere: r = 2; Density = 27; SurfaceArea = 50.26548245743669
Parallelepiped: a = 4, b = 10, c = 20; Density = 18; SurfaceArea = 640.0
Parallelepiped: a = 28, b = 3, c = 28; Density = 2; SurfaceArea = 1904.0
Parallelepiped: a = 4, b = 7, c = 18; Density = 25; SurfaceArea = 452.0
Tetrahedron: a = 22; Density = 5; SurfaceArea = 838.3125908633366
Tetrahedron: a = 29; Density = 9; SurfaceArea = 1456.6547291654258
Time: 0.012965917587280273 seconds.
