Container stores 10000 shapes:
Parallelepiped: a = 9, b = 1, c = 6; Density = 1; SurfaceArea = 138.0
Parallelepiped: a = 18, b = 19, c = 5; Density = 30; SurfaceArea = 1054.0
Parallelepiped: a = 1, b = 6, c = 1; Density = 23; SurfaceArea = 26.0
Parallelepiped: a = 6, b = 5, c = 13; Density = 5; SurfaceArea = 346.0
Parallelepiped: a = 18, b = 10, c = 9; Density = 4; SurfaceArea = 864.0
Tetrahedron: a = 2; Density = 2; SurfaceArea = 6.928203230275509
Tetrahedron: a = 28; Density = 16; SurfaceArea = 1357.9278331339997
Parallelepiped: a = 3, b = 12, c = 14; Density = 13; SurfaceArea = 492.0
Sphere: r = 30; Density = 15; SurfaceArea = 11309.733552923255
Parallelepiped: a = 14, b = 28, c = 2; Density = 10; SurfaceArea = 952.0
Parallelepiped: a = 3, b = 12, c = 24; Density = 10; SurfaceArea = 792.0
Tetrahedron: a = 29; Density = 10; SurfaceArea = 1456.6547291654258
Tetrahedron: a = 19; Density = 3; SurfaceArea = 625.2703415323647
Tetrahedron: a = 8; Density = 12; SurfaceArea = 110.85125168440814
Parallelepiped: a = 9, b = 25, c = 19; Density = 22; SurfaceArea = 1742.0
Sphere: r = 10; Density = 5; SurfaceArea = 1256.6370614359173
Parallelepiped: a = 27, b = 11, c = 28; Density = 28; SurfaceArea = 2722.0
Parallelepiped: a = 30, b = 12, c = 5; Density = 14; SurfaceArea = 1140.0
Sphere: r = 27; Density = 3; SurfaceArea = 9160.884177867836
Parallelepiped: a = 17, b = 4, c = 20; Density = 10; SurfaceArea = 976.0
Tetrahedron: a = 13; Density = 29; SurfaceArea = 292.71658647914023
Parallelepiped: a = 7, b = 10, c = 29; Density = 23; SurfaceArea = 1126.0
Tetrahedron: a = 21; Density = 25; SurfaceArea = 763.8344061378748
Sphere: r = 3; Density = 17; SurfaceArea = 113.09733552923255
Sphere: r = 24; Density = 27; SurfaceArea = 7238.229473870883
Tetrahedron: a = 3; Density = 7; SurfaceArea = 15.588457268119894
Parallelepiped: a = 14, b = 18, c = 20; Density = 22; SurfaceArea = 1784.0
Parallelepiped: a = 9, b = 18, c = 2; Density = 24; SurfaceArea = 432.0
Parallelepiped: a = 26, b = 4, c = 20; Density = 25; SurfaceArea = 1408.0
Sphere: r = 19; Density = 20; SurfaceArea = 4536.459791783661
Sphere: r = 30; Density = 20; SurfaceArea = 11309.733552923255
Parallelepiped: a = 17, b = 24, c = 13; Density = 7; SurfaceArea = 1882.0
Sphere: r = 20; Density = 15; SurfaceArea = 5026.548245743669
Parallelepiped: a = 26, b = 9, c = 5; Density = 12; SurfaceArea = 818.0
Parallelepiped: a = 2, b = 28, c = 28; Density = 9; SurfaceArea = 1792.0
Tetrahedron: a = 28; Density = 6; SurfaceArea = 1357.9278331339997
Tetrahedron: a = 22; Density = 30; SurfaceArea = 838.3125908633366
Parallelepiped: a = 5, b = 25, c = 14; Density = 8; SurfaceArea = 1090.0
Parallelepiped: a = 16, b = 22, c = 23; Density = 23; SurfaceArea = 2452.0
Tetrahedron: a = 9; Density = 9; SurfaceArea = 140.29611541307906
Parallelepiped: a = 4, b = 26, c = 21; Density = 23; SurfaceArea = 1468.0
Sphere: r = 18; Density = 3; SurfaceArea = 4071.5040790523717
Sphere: r = 24; Density = 9; SurfaceArea = 7238.229473870883
Parallelepiped: a = 10, b = 14, c = 9; Density = 20; SurfaceArea = 712.0
Tetrahedron: a = 6; Density = 6; SurfaceArea = 62.35382907247958
Sphere: r = 30; Density = 17; SurfaceArea = 11309.733552923255
Sphere: r = 20; Density = 15; SurfaceArea = 5026.548245743669
Sphere: r = 3; Density = 18; SurfaceArea = 113.09733552923255
Sphere: r = 3; Density = 3; SurfaceArea = 113.09733552923255
Tetrahedron: a = 13; Density = 15; SurfaceArea = 292.71658647914023
Tetrahedron: a = 19; Density = 6; SurfaceArea = 625.2703415323647
Tetrahedron: a = 29; Density = 5; SurfaceArea = 1456.6547291654258
Tetrahedron: a = 10; Density = 1; SurfaceArea = 173.20508075688772
Sphere: r = 19; Density = 15; SurfaceArea = 4536.459791783661
Sphere: r = 10; Density = 4; SurfaceArea = 1256.6370614359173
Parallelepiped: a = 19, b = 14, c = 21; Density = 21; SurfaceArea = 1918.0
Parallelepiped: a = 18, b = 16, c = 16; Density = 27; SurfaceArea = 1664.0
Parallelepiped: a = 18, b = 15, c = 21; Density = 14; SurfaceArea = 1926.0
Parallelepiped: a = 22, b = 30, c = 27; Density = 15; SurfaceArea = 4128.0
Sphere: r = 23; Density = 17; SurfaceArea = 6647.610054996002
Tetrahedron: a = 11; Density = 26; SurfaceArea = 209.57814771583415
Tetrahedron: a = 18; Density = 7; SurfaceArea = 561.1844616523163
Parallelepiped: a = 17, b = 4, c = 20; Density = 8; SurfaceArea = 976.0
Sphere: r = 7; Density = 9; SurfaceArea = 615.7521601035994
Sphere: r = 19; Density = 22; SurfaceArea = 4536.459791783661
Sphere: r = 17; Density = 14; SurfaceArea = 3631.681107549801
Tetrahedron: a = 4; Density = 7; SurfaceArea = 27.712812921102035
Sphere: r = 21; Density = 6; SurfaceArea = 5541.769440932395
Parallelepiped: a = 15, b = 12, c = 18; Density = 2; SurfaceArea = 1332.0
Parallelepiped: a = 29, b = 27, c = 21; Density = 5; SurfaceArea = 3918.0
Parallelepiped: a = 23, b = 3, c = 24; Density = 7; SurfaceArea = 1386.0
Sphere: r = 28; Density = 22; SurfaceArea = 9852.03456165759
Sphere: r = 20; Density = 3; SurfaceArea = 5026.548245743669
Tetrahedron: a = 26; Density = 19; SurfaceArea = 1170.866345916561
Sphere: r = 13; Density = 21; SurfaceArea = 2123.7166338267
Tetrahedron: a = 30; Density = 29; SurfaceArea = 1558.8457268119894
Sphere: r = 17; Density = 25; SurfaceArea = 3631.681107549801
Sphere: r = 24; Density = 29; SurfaceArea = 7238.229473870883
Tetrahedron: a = 24; Density = 9; SurfaceArea = 997.6612651596732
Parallelepiped: a = 3, b = 7, c = 8; Density = 10; SurfaceArea = 202.0
Tetrahedron: a = 29; Density = 20; SurfaceArea = 1456.6547291654258
Parallelepiped: a = 22, b = 1, c = 4; Density = 7; SurfaceArea = 228.0
Parallelepiped: a = 7, b = 26, c = 24; Density = 24; SurfaceArea = 1948.0
Parallelepiped: a = 9, b = 20, c = 22; Density = 15; SurfaceArea = 1636.0
Parallelepiped: a = 25, b = 28, c = 4; Density = 20; SurfaceArea = 1824.0
Parallelepiped: a = 24, b = 5, c = 30; Density = 3; SurfaceArea = 1980.0
Parallelepiped: a = 24, b = 22, c = 21; Density = 18; SurfaceArea = 2988.0
Tetrahedron: a = 23; Density = 8; SurfaceArea = 916.2548772039361
Parallelepiped: a = 25, b = 2, c = 15; Density = 3; SurfaceArea = 910.0
Tetrahedron: a = 8; Density = 20; SurfaceArea = 110.85125168440814
Tetrahedron: a = 27; Density = 2; SurfaceArea = 1262.6650387177115
Parallelepiped: a = 18, b = 14, c = 8; Density = 13; SurfaceArea = 1016.0
Tetrahedron: a = 17; Density = 12; SurfaceArea = 500.5626833874055
Sphere: r = 11; Density = 6; SurfaceArea = 1520.53084433746
Tetrahedron: a = 20; Density = 27; SurfaceArea = 692.8203230275509
Sphere: r = 17; Density = 15; SurfaceArea = 3631.681107549801
Tetrahedron: a = 23; Density = 26; SurfaceArea = 916.2548772039361
Sphere: r = 15; Density = 27; SurfaceArea = 2827.4333882308138
Parallelepiped: a = 26, b = 30, c = 18; Density = 20; SurfaceArea = 3576.0
Sphere: r = 14; Density = 14; SurfaceArea = 2463.0086404143976
Tetrahedron: a = 5; Density = 15; SurfaceArea = 43.30127018922193
Sphere: r = 3; Density = 4; SurfaceArea = 113.09733552923255
Tetrahedron: a = 15; Density = 6; SurfaceArea = 389.71143170299734
Parallelepiped: a = 6, b = 5, c = 27; Density = 11; SurfaceArea = 654.0
Tetrahedron: a = 3; Density = 5; SurfaceArea = 15.588457268119894
Parallelepiped: a = 18, b = 17, c = 2; Density = 15; SurfaceArea = 752.0
Tetrahedron: a = 3; Density = 2; SurfaceArea = 15.588457268119894
Sphere: r = 19; Density = 13; SurfaceArea = 4536.459791783661
Parallelepiped: a = 24, b = 1, c = 15; Density = 13; SurfaceArea = 798.0
Sphere: r = 24; Density = 13; SurfaceArea = 7238.229473870883
Tetrahedron: a = 23; Density = 13; SurfaceArea = 916.2548772039361
Sphere: r = 14; Density = 16; SurfaceArea = 2463.0086404143976
Parallelepiped: a = 2, b = 18, c = 10; Density = 4; SurfaceArea = 472.0
Parallelepiped: a = 3, b = 16, c = 5; Density = 25; SurfaceArea = 286.0
Tetrahedron: a = 19; Density = 26; SurfaceArea = 625.2703415323647
Sphere: r = 10; Density = 10; SurfaceArea = 1256.6370614359173
Tetrahedron: a = 28; Density = 9; SurfaceArea = 1357.9278331339997
Tetrahedron: a = 21; Density = 22; SurfaceArea = 763.8344061378748
Sphere: r = 15; Density = 22; SurfaceArea = 2827.4333882308138
Tetrahedron: a = 18; Density = 15; SurfaceArea = 561.1844616523163
Tetrahedron: a = 9; Density = 15; SurfaceArea = 140.29611541307906
Tetrahedron: a = 18; Density = 5; SurfaceArea = 561.1844616523163
Parallelepiped: a = 18, b = 7, c = 5; Density = 1; SurfaceArea = 502.0
Sphere: r = 19; Density = 22; SurfaceArea = 4536.459791783661
Sphere: r = 20; Density = 25; SurfaceArea = 5026.548245743669
Tetrahedron: a = 26; Density = 21; SurfaceArea = 1170.866345916561
Tetrahedron: a = 27; Density = 1; SurfaceArea = 1262.6650387177115
Sphere: r = 24; Density = 19; SurfaceArea = 7238.229473870883
Parallelepiped: a = 15, b = 20, c = 15; Density = 6; SurfaceArea = 1650.0
Sphere: r = 16; Density = 11; SurfaceArea = 3216.990877275948
Sphere: r = 2; Density = 14; SurfaceArea = 50.26548245743669
Sphere: r = 9; Density = 2; SurfaceArea = 1017.8760197630929
Sphere: r = 21; Density = 16; SurfaceArea = 5541.769440932395
Parallelepiped: a = 6, b = 2, c = 6; Density = 15; SurfaceArea = 120.0
Sphere: r = 13; Density = 13; SurfaceArea = 2123.7166338267
Parallelepiped: a = 8, b = 17, c = 17; Density = 15; SurfaceArea = 1122.0
Tetrahedron: a = 23; Density = 8; SurfaceArea = 916.2548772039361
Tetrahedron: a = 26; Density = 7; SurfaceArea = 1170.866345916561
Tetrahedron: a = 16; Density = 26; SurfaceArea = 443.40500673763256
Tetrahedron: a = 6; Density = 1; SurfaceArea = 62.35382907247958
Sphere: r = 6; Density = 18; SurfaceArea = 452.3893421169302
Tetrahedron: a = 13; Density = 27; SurfaceArea = 292.71658647914023
Parallelepiped: a = 22, b = 13, c = 29; Density = 29; SurfaceArea = 2602.0
Parallelepiped: a = 14, b = 19, c = 24; Density = 14; SurfaceArea = 2116.0
Sphere: r = 11; Density = 7; SurfaceArea = 1520.53084433746
Parallelepiped: a = 30, b = 21, c = 7; Density = 6; SurfaceArea = 1974.0
Tetrahedron: a = 10; Density = 22; SurfaceArea = 173.20508075688772
Tetrahedron: a = 7; Density = 19; SurfaceArea = 84.87048957087498
Tetrahedron: a = 13; Density = 17; SurfaceArea = 292.71658647914023
Tetrahedron: a = 11; Density = 10; SurfaceArea = 209.57814771583415
Sphere: r = 7; Density = 8; SurfaceArea = 615.7521601035994
Tetrahedron: a = 10; Density = 10; SurfaceArea = 173.20508075688772
Sphere: r = 9; Density = 27; SurfaceArea = 1017.8760197630929
Sphere: r = 5; Density = 8; SurfaceArea = 314.1592653589793
Sphere: r = 14; Density = 19; SurfaceArea = 2463.0086404143976
Parallelepiped: a = 15, b = 2, c = 29; Density = 26; SurfaceArea = 1046.0
Parallelepiped: a = 4, b = 23, c = 6; Density = 7; SurfaceArea = 508.0
Sphere: r = 13; Density = 5; SurfaceArea = 2123.7166338267
Parallelepiped: a = 16, b = 29, c = 10; Density = 26; SurfaceArea = 1828.0
Tetrahedron: a = 29; Density = 27; SurfaceArea = 1456.6547291654258
Parallelepiped: a = 10, b = 20, c = 27; Density = 19; SurfaceArea = 2020.0
Sphere: r = 22; Density = 25; SurfaceArea = 6082.12337734984
Sphere: r = 9; Density = 6; SurfaceArea = 1017.8760197630929
Tetrahedron: a = 24; Density = 14; SurfaceArea = 997.6612651596732
Sphere: r = 24; Density = 7; SurfaceArea = 7238.229473870883
Tetrahedron: a = 30; Density = 4; SurfaceArea = 1558.8457268119894
Tetrahedron: a = 19; Density = 25; SurfaceArea = 625.2703415323647
Tetrahedron: a = 7; Density = 19; SurfaceArea = 84.87048957087498
Tetrahedron: a = 14; Density = 9; SurfaceArea = 339.4819582834999
Sphere: r = 29; Density = 12; SurfaceArea = 10568.317686676064
Sphere: r = 27; Density = 12; SurfaceArea = 9160.884177867836
Sphere: r = 29; Density = 14; SurfaceArea = 10568.317686676064
Parallelepiped: a = 16, b = 20, c = 24; Density = 28; SurfaceArea = 2368.0
Tetrahedron: a = 9; Density = 28; SurfaceArea = 140.29611541307906
Parallelepiped: a = 4, b = 8, c = 30; Density = 15; SurfaceArea = 784.0
Sphere: r = 2; Density = 29; SurfaceArea = 50.26548245743669
Parallelepiped: a = 7, b = 13, c = 1; Density = 26; SurfaceArea = 222.0
Parallelepiped: a = 24, b = 11, c = 16; Density = 16; SurfaceArea = 1648.0
Tetrahedron: a = 13; Density = 16; SurfaceArea = 292.71658647914023
Parallelepiped: a = 29, b = 25, c = 28; Density = 10; SurfaceArea = 4474.0
Sphere: r = 23; Density = 30; SurfaceArea = 6647.610054996002
Sphere: r = 5; Density = 25; SurfaceArea = 314.1592653589793
Sphere: r = 23; Density = 24; SurfaceArea = 6647.610054996002
Parallelepiped: a = 9, b = 9, c = 2; Density = 1; SurfaceArea = 234.0
Parallelepiped: a = 24, b = 4, c = 24; Density = 18; SurfaceArea = 1536.0
Tetrahedron: a = 20; Density = 10; SurfaceArea = 692.8203230275509
Parallelepiped: a = 27, b = 29, c = 28; Density = 1; SurfaceArea = 4702.0
Parallelepiped: a = 4, b = 10, c = 10; Density = 29; SurfaceArea = 360.0
Parallelepiped: a = 13, b = 21, c = 12; Density = 21; SurfaceArea = 1362.0
Sphere: r = 24; Density = 17; SurfaceArea = 7238.229473870883
Parallelepiped: a = 30, b = 29, c = 4; Density = 10; SurfaceArea = 2212.0
Sphere: r = 16; Density = 13; SurfaceArea = 3216.990877275948
Parallelepiped: a = 4, b = 9, c = 7; Density = 3; SurfaceArea = 254.0
Sphere: r = 24; Density = 12; SurfaceArea = 7238.229473870883
Tetrahedron: a = 3; Density = 12; SurfaceArea = 15.588457268119894
Parallelepiped: a = 22, b = 27, c = 15; Density = 19; SurfaceArea = 2658.0
Sphere: r = 16; Density = 6; SurfaceArea = 3216.990877275948
Tetrahedron: a = 30; Density = 26; SurfaceArea = 1558.8457268119894
Parallelepiped: a = 3, b = 6, c = 10; Density = 11; SurfaceArea = 216.0
Parallelepiped: a = 3, b = 21, c = 5; Density = 27; SurfaceArea = 366.0
Tetrahedron: a = 28; Density = 11; SurfaceArea = 1357.9278331339997
Sphere: r = 11; Density = 14; SurfaceArea = 1520.53084433746
Tetrahedron: a = 9; Density = 16; SurfaceArea = 140.29611541307906
Tetrahedron: a = 1; Density = 13; SurfaceArea = 1.7320508075688772
Sphere: r = 4; Density = 18; SurfaceArea = 201.06192982974676
Parallelepiped: a = 5, b = 4, c = 20; Density = 3; SurfaceArea = 400.0
Tetrahedron: a = 13; Density = 6; SurfaceArea = 292.71658647914023
Parallelepiped: a = 23, b = 18, c = 13; Density = 19; SurfaceArea = 1894.0
Parallelepiped: a = 28, b = 27, c = 24; Density = 28; SurfaceArea = 4152.0
Tetrahedron: a = 13; Density = 16; SurfaceArea = 292.71658647914023
Parallelepiped: a = 12, b = 14, c = 29; Density = 30; SurfaceArea = 1844.0
Sphere: r = 17; Density = 30; SurfaceArea = 3631.681107549801
Tetrahedron: a = 16; Density = 20; SurfaceArea = 443.40500673763256
Tetrahedron: a = 1; Density = 19; SurfaceArea = 1.7320508075688772
Sphere: r = 1; Density = 27; SurfaceArea = 12.566370614359172
Parallelepiped: a = 19, b = 15, c = 9; Density = 15; SurfaceArea = 1182.0
Parallelepiped: a = 2, b = 12, c = 15; Density = 2; SurfaceArea = 468.0
Tetrahedron: a = 19; Density = 2; SurfaceArea = 625.2703415323647
Sphere: r = 20; Density = 24; SurfaceArea = 5026.548245743669
Tetrahedron: a = 25; Density = 4; SurfaceArea = 1082.5317547305483
Sphere: r = 28; Density = 24; SurfaceArea = 9852.03456165759
Tetrahedron: a = 18; Density = 8; SurfaceArea = 561.1844616523163
Sphere: r = 1; Density = 12; SurfaceArea = 12.566370614359172
Sphere: r = 7; Density = 6; SurfaceArea = 615.7521601035994
Parallelepiped: a = 7, b = 29, c = 18; Density = 14; SurfaceArea = 1702.0
Tetrahedron: a = 14; Density = 29; SurfaceArea = 339.4819582834999
Tetrahedron: a = 28; Density = 21; SurfaceArea = 1357.9278331339997
Sphere: r = 9; Density = 28; SurfaceArea = 1017.8760197630929
Sphere: r = 29; Density = 5; SurfaceArea = 10568.317686676064
Sphere: r = 11; Density = 5; SurfaceArea = 1520.53084433746
Sphere: r = 11; Density = 11; SurfaceArea = 1520.53084433746
Tetrahedron: a = 21; Density = 24; SurfaceArea = 763.8344061378748
Tetrahedron: a = 28; Density = 15; SurfaceArea = 1357.9278331339997
Tetrahedron: a = 10; Density = 11; SurfaceArea = 173.20508075688772
Sphere: r = 3; Density = 7; SurfaceArea = 113.09733552923255
Parallelepiped: a = 10, b = 1, c = 21; Density = 21; SurfaceArea = 482.0
Sphere: r = 17; Density = 22; SurfaceArea = 3631.681107549801
Sphere: r = 7; Density = 23; SurfaceArea = 615.7521601035994
Parallelepiped: a = 28, b = 17, c = 19; Density = 28; SurfaceArea = 2662.0
Sphere: r = 20; Density = 29; SurfaceArea = 5026.548245743669
Parallelepiped: a = 30, b = 13, c = 27; Density = 1; SurfaceArea = 3102.0
Tetrahedron: a = 23; Density = 15; SurfaceArea = 916.2548772039361
Tetrahedron: a = 16; Density = 14; SurfaceArea = 443.40500673763256
Sphere: r = 12; Density = 1; SurfaceArea = 1809.5573684677208
Tetrahedron: a = 13; Density = 2; SurfaceArea = 292.71658647914023
Tetrahedron: a = 29; Density = 20; SurfaceArea = 1456.6547291654258
Parallelepiped: a = 21, b = 24, c = 9; Density = 22; SurfaceArea = 1818.0
Sphere: r = 29; Density = 14; SurfaceArea = 10568.317686676064
Tetrahedron: a = 29; Density = 2; SurfaceArea = 1456.6547291654258
Tetrahedron: a = 21; Density = 3; SurfaceArea = 763.8344061378748
Parallelepiped: a = 2, b = 27, c = 13; Density = 17; SurfaceArea = 862.0
Sphere: r = 17; Density = 23; SurfaceArea = 3631.681107549801
Sphere: r = 9; Density = 13; SurfaceArea = 1017.8760197630929
Sphere: r = 18; Density = 7; SurfaceArea = 4071.5040790523717
Sphere: r = 16; Density = 2; SurfaceArea = 3216.990877275948
Sphere: r = 27; Density = 30; SurfaceArea = 9160.884177867836
Sphere: r = 4; Density = 5; SurfaceArea = 201.06192982974676
Sphere: r = 16; Density = 3; SurfaceArea = 3216.990877275948
Parallelepiped: a = 18, b = 12, c = 15; Density = 1; SurfaceArea = 1332.0
Parallelepiped: a = 30, b = 3, c = 25; Density = 22; SurfaceArea = 1830.0
Tetrahedron: a = 20; Density = 2; SurfaceArea = 692.8203230275509
Sphere: r = 29; Density = 24; SurfaceArea = 10568.317686676064
Parallelepiped: a = 1, b = 20, c = 18; Density = 30; SurfaceArea = 796.0
Sphere: r = 13; Density = 1; SurfaceArea = 2123.7166338267
Tetrahedron: a = 9; Density = 8; SurfaceArea = 140.29611541307906
Sphere: r = 25; Density = 16; SurfaceArea = 7853.981633974483
Sphere: r = 10; Density = 2; SurfaceArea = 1256.6370614359173
Tetrahedron: a = 8; Density = 20; SurfaceArea = 110.85125168440814
Sphere: r = 21; Density = 6; SurfaceArea = 5541.769440932395
Sphere: r = 23; Density = 9; SurfaceArea = 6647.610054996002
Sphere: r = 27; Density = 22; SurfaceArea = 9160.884177867836
Sphere: r = 24; Density = 5; SurfaceArea = 7238.229473870883
Sphere: r = 16; Density = 25; SurfaceArea = 3216.990877275948
Sphere: r = 27; Density = 13; SurfaceArea = 9160.884177867836
Tetrahedron: a = 1; Density = 6; SurfaceArea = 1.7320508075688772
Sphere: r = 1; Density = 3; SurfaceArea = 12.566370614359172
Parallelepiped: a = 11, b = 19, c = 22; Density = 13; SurfaceArea = 1738.0
Sphere: r = 6; Density = 1; SurfaceArea = 452.3893421169302
Parallelepiped: a = 27, b = 16, c = 2; Density = 15; SurfaceArea = 1036.0
Parallelepiped: a = 10, b = 2, c = 12; Density = 2; SurfaceArea = 328.0
Parallelepiped: a = 22, b = 6, c = 28; Density = 27; SurfaceArea = 1832.0
Tetrahedron: a = 20; Density = 17; SurfaceArea = 692.8203230275509
Sphere: r = 10; Density = 18; SurfaceArea = 1256.6370614359173
Tetrahedron: a = 19; Density = 29; SurfaceArea = 625.2703415323647
Tetrahedron: a = 14; Density = 2; SurfaceArea = 339.4819582834999
Tetrahedron: a = 27; Density = 20; SurfaceArea = 1262.6650387177115
Parallelepiped: a = 9, b = 8, c = 28; Density = 20; SurfaceArea = 1096.0
Sphere: r = 10; Density = 22; SurfaceArea = 1256.6370614359173
Tetrahedron: a = 3; Density = 19; SurfaceArea = 15.588457268119894
Sphere: r = 14; Density = 24; SurfaceArea = 2463.0086404143976
Tetrahedron: a = 19; Density = 5; SurfaceArea = 625.2703415323647
Parallelepiped: a = 2, b = 13, c = 28; Density = 6; SurfaceArea = 892.0
Tetrahedron: a = 13; Density = 26; SurfaceArea = 292.71658647914023
Parallelepiped: a = 29, b = 13, c = 13; Density = 21; SurfaceArea = 1846.0
Tetrahedron: a = 15; Density = 29; SurfaceArea = 389.71143170299734
Sphere: r = 12; Density = 8; SurfaceArea = 1809.5573684677208
Tetrahedron: a = 13; Density = 27; SurfaceArea = 292.71658647914023
Parallelepiped: a = 30, b = 1, c = 11; Density = 8; SurfaceArea = 742.0
Sphere: r = 23; Density = 16; SurfaceArea = 6647.610054996002
Sphere: r = 17; Density = 22; SurfaceArea = 3631.681107549801
Parallelepiped: a = 14, b = 15, c = 30; Density = 7; SurfaceArea = 2160.0
Tetrahedron: a = 24; Density = 12; SurfaceArea = 997.6612651596732
Tetrahedron: a = 10; Density = 2; SurfaceArea = 173.20508075688772
Tetrahedron: a = 10; Density = 6; SurfaceArea = 173.20508075688772
Sphere: r = 22; Density = 4; SurfaceArea = 6082.12337734984
Tetrahedron: a = 18; Density = 8; SurfaceArea = 561.1844616523163
Sphere: r = 15; Density = 27; SurfaceArea = 2827.4333882308138
Tetrahedron: a = 15; Density = 23; SurfaceArea = 389.71143170299734
Parallelepiped: a = 22, b = 5, c = 16; Density = 27; SurfaceArea = 1084.0
Sphere: r = 18; Density = 18; SurfaceArea = 4071.5040790523717
Sphere: r = 28; Density = 4; SurfaceArea = 9852.03456165759
Sphere: r = 19; Density = 30; SurfaceArea = 4536.459791783661
Sphere: r = 28; Density = 19; SurfaceArea = 9852.03456165759
Tetrahedron: a = 21; Density = 16; SurfaceArea = 763.8344061378748
Sphere: r = 18; Density = 10; SurfaceArea = 4071.5040790523717
Parallelepiped: a = 24, b = 13, c = 22; Density = 24; SurfaceArea = 2252.0
Tetrahedron: a = 14; Density = 17; SurfaceArea = 339.4819582834999
Parallelepiped: a = 1, b = 3, c = 22; Density = 6; SurfaceArea = 182.0
Tetrahedron: a = 14; Density = 23; SurfaceArea = 339.4819582834999
Sphere: r = 25; Density = 12; SurfaceArea = 7853.981633974483
Tetrahedron: a = 19; Density = 21; SurfaceArea = 625.2703415323647
Tetrahedron: a = 3; Density = 27; SurfaceArea = 15.588457268119894
Parallelepiped: a = 28, b = 28, c = 23; Density = 27; SurfaceArea = 4144.0
Tetrahedron: a = 6; Density = 24; SurfaceArea = 62.35382907247958
Parallelepiped: a = 15, b = 26, c = 10; Density = 10; SurfaceArea = 1600.0
Sphere: r = 18; Density = 26; SurfaceArea = 4071.5040790523717
Tetrahedron: a = 13; Density = 6; SurfaceArea = 292.71658647914023
Parallelepiped: a = 8, b = 10, c = 20; Density = 16; SurfaceArea = 880.0
Parallelepiped: a = 13, b = 15, c = 7; Density = 16; SurfaceArea = 782.0
Tetrahedron: a = 26; Density = 7; SurfaceArea = 1170.866345916561
Parallelepiped: a = 24, b = 25, c = 26; Density = 18; SurfaceArea = 3748.0
Parallelepiped: a = 6, b = 11, c = 1; Density = 29; SurfaceArea = 166.0
Parallelepiped: a = 20, b = 24, c = 27; Density = 12; SurfaceArea = 3336.0
Sphere: r = 19; Density = 7; SurfaceArea = 4536.459791783661
Tetrahedron: a = 5; Density = 27; SurfaceArea = 43.30127018922193
Tetrahedron: a = 20; Density = 30; SurfaceArea = 692.8203230275509
Tetrahedron: a = 15; Density = 4; SurfaceArea = 389.71143170299734
Sphere: r = 2; Density = 16; SurfaceArea = 50.26548245743669
Parallelepiped: a = 25, b = 18, c = 10; Density = 19; SurfaceArea = 1760.0
Sphere: r = 24; Density = 1; SurfaceArea = 7238.229473870883
Sphere: r = 26; Density = 14; SurfaceArea = 8494.8665353068
Tetrahedron: a = 24; Density = 22; SurfaceArea = 997.6612651596732
Tetrahedron: a = 13; Density = 28; SurfaceArea = 292.71658647914023
Parallelepiped: a = 15, b = 24, c = 10; Density = 25; SurfaceArea = 1500.0
Parallelepiped: a = 27, b = 11, c = 2; Density = 7; SurfaceArea = 746.0
Parallelepiped: a = 1, b = 10, c = 28; Density = 18; SurfaceArea = 636.0
Parallelepiped: a = 28, b = 23, c = 19; Density = 28; SurfaceArea = 3226.0
Sphere: r = 5; Density = 30; SurfaceArea = 314.1592653589793
Tetrahedron: a = 20; Density = 12; SurfaceArea = 692.8203230275509
Sphere: r = 15; Density = 9; SurfaceArea = 2827.4333882308138
Tetrahedron: a = 7; Density = 26; SurfaceArea = 84.87048957087498
Parallelepiped: a = 9, b = 6, c = 18; Density = 9; SurfaceArea = 648.0
Sphere: r = 20; Density = 14; SurfaceArea = 5026.548245743669
Parallelepiped: a = 12, b = 1, c = 7; Density = 2; SurfaceArea = 206.0
Tetrahedron: a = 27; Density = 28; SurfaceArea = 1262.6650387177115
Parallelepiped: a = 5, b = 23, c = 27; Density = 20; SurfaceArea = 1742.0
Parallelepiped: a = 11, b = 25, c = 23; Density = 23; SurfaceArea = 2206.0
Sphere: r = 25; Density = 18; SurfaceArea = 7853.981633974483
Parallelepiped: a = 25, b = 18, c = 18; Density = 22; SurfaceArea = 2448.0
Tetrahedron: a = 13; Density = 4; SurfaceArea = 292.71658647914023
Sphere: r = 20; Density = 19; SurfaceArea = 5026.548245743669
Tetrahedron: a = 9; Density = 15; SurfaceArea = 140.29611541307906
Tetrahedron: a = 29; Density = 29; SurfaceArea = 1456.6547291654258
Parallelepiped: a = 21, b = 2, c = 2; Density = 21; SurfaceArea = 176.0
Parallelepiped: a = 8, b = 27, c = 8; Density = 4; SurfaceArea = 992.0
Tetrahedron: a = 4; Density = 5; SurfaceArea = 27.712812921102035
Sphere: r = 11; Density = 7; SurfaceArea = 1520.53084433746
Tetrahedron: a = 14; Density = 6; SurfaceArea = 339.4819582834999
Tetrahedron: a = 10; Density = 4; SurfaceArea = 173.20508075688772
Parallelepiped: a = 4, b = 5, c = 15; Density = 12; SurfaceArea = 310.0
Sphere: r = 4; Density = 27; SurfaceArea = 201.06192982974676
Sphere: r = 9; Density = 16; SurfaceArea = 1017.8760197630929
Tetrahedron: a = 25; Density = 26; SurfaceArea = 1082.5317547305483
Sphere: r = 10; Density = 27; SurfaceArea = 1256.6370614359173
Parallelepiped: a = 26, b = 2, c = 21; Density = 26; SurfaceArea = 1280.0
