Container stores 5000 shapes:
Parallelepiped: a = 4, b = 2, c = 22; Density = 10; SurfaceArea = 280.0
Sphere: r = 28; Density = 30; SurfaceArea = 9852.03456165759
Sphere: r = 21; Density = 7; SurfaceArea = 5541.769440932395
Tetrahedron: a = 16; Density = 1; SurfaceArea = 443.40500673763256
Tetrahedron: a = 19; Density = 16; SurfaceArea = 625.2703415323647
Sphere: r = 6; Density = 11; SurfaceArea = 452.3893421169302
Parallelepiped: a = 5, b = 5, c = 10; Density = 21; SurfaceArea = 250.0
Tetrahedron: a = 23; Density = 1; SurfaceArea = 916.2548772039361
Parallelepiped: a = 8, b = 14, c = 11; Density = 5; SurfaceArea = 708.0
Tetrahedron: a = 1; Density = 8; SurfaceArea = 1.7320508075688772
Parallelepiped: a = 4, b = 6, c = 3; Density = 6; SurfaceArea = 108.0
Tetrahedron: a = 6; Density = 11; SurfaceArea = 62.35382907247958
Sphere: r = 26; Density = 11; SurfaceArea = 8494.8665353068
Sphere: r = 6; Density = 4; SurfaceArea = 452.3893421169302
Sphere: r = 11; Density = 25; SurfaceArea = 1520.53084433746
Tetrahedron: a = 11; Density = 13; SurfaceArea = 209.57814771583415
Parallelepiped: a = 30, b = 9, c = 20; Density = 6; SurfaceArea = 2100.0
Sphere: r = 22; Density = 5; SurfaceArea = 6082.12337734984
Sphere: r = 14; Density = 23; SurfaceArea = 2463.0086404143976
Tetrahedron: a = 7; Density = 22; SurfaceArea = 84.87048957087498
Sphere: r = 3; Density = 9; SurfaceArea = 113.09733552923255
Sphere: r = 25; Density = 26; SurfaceArea = 7853.981633974483
Parallelepiped: a = 9, b = 10, c = 11; Density = 16; SurfaceArea = 598.0
Parallelepiped: a = 8, b = 9, c = 29; Density = 30; SurfaceArea = 1130.0
Tetrahedron: a = 7; Density = 18; SurfaceArea = 84.87048957087498
Tetrahedron: a = 24; Density = 10; SurfaceArea = 997.6612651596732
Tetrahedron: a = 15; Density = 3; SurfaceArea = 389.71143170299734
Parallelepiped: a = 30, b = 14, c = 10; Density = 28; SurfaceArea = 1720.0
Parallelepiped: a = 17, b = 8, c = 14; Density = 14; SurfaceArea = 972.0
Parallelepiped: a = 23, b = 8, c = 30; Density = 4; SurfaceArea = 2228.0
Parallelepiped: a = 2, b = 1, c = 15; Density = 1; SurfaceArea = 94.0
Sphere: r = 6; Density = 4; SurfaceArea = 452.3893421169302
Sphere: r = 6; Density = 5; SurfaceArea = 452.3893421169302
Parallelepiped: a = 16, b = 22, c = 18; Density = 23; SurfaceArea = 2072.0
Sphere: r = 16; Density = 1; SurfaceArea = 3216.990877275948
Tetrahedron: a = 6; Density = 10; SurfaceArea = 62.35382907247958
Sphere: r = 11; Density = 25; SurfaceArea = 1520.53084433746
Tetrahedron: a = 9; Density = 16; SurfaceArea = 140.29611541307906
Sphere: r = 18; Density = 5; SurfaceArea = 4071.5040790523717
Sphere: r = 17; Density = 1; SurfaceArea = 3631.681107549801
Sphere: r = 5; Density = 9; SurfaceArea = 314.1592653589793
Tetrahedron: a = 26; Density = 25; SurfaceArea = 1170.866345916561
Tetrahedron: a = 14; Density = 14; SurfaceArea = 339.4819582834999
Tetrahedron: a = 1; Density = 5; SurfaceArea = 1.7320508075688772
Tetrahedron: a = 20; Density = 18; SurfaceArea = 692.8203230275509
Tetrahedron: a = 15; Density = 5; SurfaceArea = 389.71143170299734
Sphere: r = 7; Density = 20; SurfaceArea = 615.7521601035994
Tetrahedron: a = 30; Density = 26; SurfaceArea = 1558.8457268119894
Sphere: r = 21; Density = 20; SurfaceArea = 5541.769440932395
Tetrahedron: a = 7; Density = 25; SurfaceArea = 84.87048957087498
Sphere: r = 22; Density = 23; SurfaceArea = 6082.12337734984
Sphere: r = 1; Density = 16; SurfaceArea = 12.566370614359172
Parallelepiped: a = 30, b = 30, c = 23; Density = 14; SurfaceArea = 4560.0
Sphere: r = 10; Density = 10; SurfaceArea = 1256.6370614359173
Tetrahedron: a = 12; Density = 8; SurfaceArea = 249.4153162899183
Tetrahedron: a = 7; Density = 13; SurfaceArea = 84.87048957087498
Parallelepiped: a = 3, b = 28, c = 14; Density = 3; SurfaceArea = 1036.0
Parallelepiped: a = 23, b = 14, c = 15; Density = 3; SurfaceArea = 1754.0
Sphere: r = 7; Density = 19; SurfaceArea = 615.7521601035994
Tetrahedron: a = 10; Density = 8; SurfaceArea = 173.20508075688772
Tetrahedron: a = 9; Density = 22; SurfaceArea = 140.29611541307906
Tetrahedron: a = 28; Density = 30; SurfaceArea = 1357.9278331339997
Tetrahedron: a = 1; Density = 26; SurfaceArea = 1.7320508075688772
Tetrahedron: a = 4; Density = 26; SurfaceArea = 27.712812921102035
Parallelepiped: a = 13, b = 9, c = 12; Density = 15; SurfaceArea = 762.0
Tetrahedron: a = 6; Density = 28; SurfaceArea = 62.35382907247958
Sphere: r = 8; Density = 17; SurfaceArea = 804.247719318987
Tetrahedron: a = 20; Density = 24; SurfaceArea = 692.8203230275509
Parallelepiped: a = 6, b = 15, c = 11; Density = 12; SurfaceArea = 642.0
Tetrahedron: a = 22; Density = 20; SurfaceArea = 838.3125908633366
Tetrahedron: a = 26; Density = 29; SurfaceArea = 1170.866345916561
Parallelepiped: a = 15, b = 11, c = 20; Density = 25; SurfaceArea = 1370.0
Sphere: r = 13; Density = 27; SurfaceArea = 2123.7166338267
Sphere: r = 5; Density = 28; SurfaceArea = 314.1592653589793
Sphere: r = 11; Density = 5; SurfaceArea = 1520.53084433746
Parallelepiped: a = 17, b = 3, c = 21; Density = 10; SurfaceArea = 942.0
Tetrahedron: a = 20; Density = 27; SurfaceArea = 692.8203230275509
Sphere: r = 8; Density = 18; SurfaceArea = 804.247719318987
Parallelepiped: a = 12, b = 16, c = 11; Density = 8; SurfaceArea = 1000.0
Parallelepiped: a = 17, b = 30, c = 18; Density = 27; SurfaceArea = 2712.0
Parallelepiped: a = 27, b = 3, c = 16; Density = 18; SurfaceArea = 1122.0
Tetrahedron: a = 6; Density = 18; SurfaceArea = 62.35382907247958
Sphere: r = 24; Density = 4; SurfaceArea = 7238.229473870883
Tetrahedron: a = 7; Density = 18; SurfaceArea = 84.87048957087498
Sphere: r = 15; Density = 27; SurfaceArea = 2827.4333882308138
Tetrahedron: a = 20; Density = 6; SurfaceArea = 692.8203230275509
Tetrahedron: a = 9; Density = 17; SurfaceArea = 140.29611541307906
Sphere: r = 5; Density = 14; SurfaceArea = 314.1592653589793
Parallelepiped: a = 26, b = 9, c = 18; Density = 7; SurfaceArea = 1728.0
Parallelepiped: a = 24, b = 14, c = 17; Density = 27; SurfaceArea = 1964.0
Parallelepiped: a = 22, b = 11, c = 10; Density = 1; SurfaceArea = 1144.0
Sphere: r = 19; Density = 26; SurfaceArea = 4536.459791783661
Parallelepiped: a = 16, b = 13, c = 8; Density = 12; SurfaceArea = 880.0
Tetrahedron: a = 10; Density = 19; SurfaceArea = 173.20508075688772
Sphere: r = 29; Density = 3; SurfaceArea = 10568.317686676064
Sphere: r = 3; Density = 24; SurfaceArea = 113.09733552923255
Tetrahedron: a = 8; Density = 21; SurfaceArea = 110.85125168440814
Tetrahedron: a = 2; Density = 27; SurfaceArea = 6.928203230275509
Parallelepiped: a = 21, b = 14, c = 7; Density = 2; SurfaceArea = 1078.0
Tetrahedron: a = 14; Density = 21; SurfaceArea = 339.4819582834999
Parallelepiped: a = 19, b = 18, c = 12; Density = 30; SurfaceArea = 1572.0
Tetrahedron: a = 20; Density = 4; SurfaceArea = 692.8203230275509
Parallelepiped: a = 21, b = 2, c = 12; Density = 26; SurfaceArea = 636.0
Sphere: r = 3; Density = 17; SurfaceArea = 113.09733552923255
Parallelepiped: a = 30, b = 18, c = 26; Density = 3; SurfaceArea = 3576.0
Tetrahedron: a = 12; Density = 11; SurfaceArea = 249.4153162899183
Tetrahedron: a = 9; Density = 29; SurfaceArea = 140.29611541307906
Tetrahedron: a = 14; Density = 10; SurfaceArea = 339.4819582834999
Tetrahedron: a = 4; Density = 4; SurfaceArea = 27.712812921102035
Sphere: r = 10; Density = 13; SurfaceArea = 1256.6370614359173
Tetrahedron: a = 28; Density = 30; SurfaceArea = 1357.9278331339997
Sphere: r = 14; Density = 17; SurfaceArea = 2463.0086404143976
Parallelepiped: a = 9, b = 14, c = 28; Density = 19; SurfaceArea = 1540.0
Parallelepiped: a = 3, b = 29, c = 4; Density = 21; SurfaceArea = 430.0
Parallelepiped: a = 19, b = 18, c = 18; Density = 23; SurfaceArea = 2016.0
Sphere: r = 5; Density = 9; SurfaceArea = 314.1592653589793
Parallelepiped: a = 23, b = 17, c = 12; Density = 4; SurfaceArea = 1742.0
Tetrahedron: a = 13; Density = 28; SurfaceArea = 292.71658647914023
Parallelepiped: a = 23, b = 21, c = 12; Density = 26; SurfaceArea = 2022.0
Tetrahedron: a = 30; Density = 14; SurfaceArea = 1558.8457268119894
Parallelepiped: a = 4, b = 5, c = 2; Density = 22; SurfaceArea = 76.0
Tetrahedron: a = 14; Density = 10; SurfaceArea = 339.4819582834999
Tetrahedron: a = 16; Density = 26; SurfaceArea = 443.40500673763256
Tetrahedron: a = 14; Density = 18; SurfaceArea = 339.4819582834999
Parallelepiped: a = 19, b = 8, c = 1; Density = 3; SurfaceArea = 358.0
Tetrahedron: a = 26; Density = 19; SurfaceArea = 1170.866345916561
Parallelepiped: a = 18, b = 4, c = 2; Density = 29; SurfaceArea = 232.0
Tetrahedron: a = 7; Density = 20; SurfaceArea = 84.87048957087498
Parallelepiped: a = 1, b = 16, c = 13; Density = 9; SurfaceArea = 474.0
Sphere: r = 7; Density = 10; SurfaceArea = 615.7521601035994
Tetrahedron: a = 3; Density = 9; SurfaceArea = 15.588457268119894
Tetrahedron: a = 3; Density = 30; SurfaceArea = 15.588457268119894
Sphere: r = 15; Density = 9; SurfaceArea = 2827.4333882308138
Parallelepiped: a = 14, b = 19, c = 25; Density = 10; SurfaceArea = 2182.0
Sphere: r = 18; Density = 6; SurfaceArea = 4071.5040790523717
Tetrahedron: a = 26; Density = 23; SurfaceArea = 1170.866345916561
Sphere: r = 3; Density = 10; SurfaceArea = 113.09733552923255
Sphere: r = 17; Density = 5; SurfaceArea = 3631.681107549801
Sphere: r = 18; Density = 13; SurfaceArea = 4071.5040790523717
Sphere: r = 28; Density = 25; SurfaceArea = 9852.03456165759
Tetrahedron: a = 3; Density = 6; SurfaceArea = 15.588457268119894
Tetrahedron: a = 16; Density = 30; SurfaceArea = 443.40500673763256
Sphere: r = 28; Density = 22; SurfaceArea = 9852.03456165759
Sphere: r = 1; Density = 13; SurfaceArea = 12.566370614359172
Sphere: r = 15; Density = 12; SurfaceArea = 2827.4333882308138
Tetrahedron: a = 13; Density = 15; SurfaceArea = 292.71658647914023
Tetrahedron: a = 6; Density = 21; SurfaceArea = 62.35382907247958
Tetrahedron: a = 19; Density = 19; SurfaceArea = 625.2703415323647
Tetrahedron: a = 24; Density = 16; SurfaceArea = 997.6612651596732
Tetrahedron: a = 7; Density = 20; SurfaceArea = 84.87048957087498
Sphere: r = 27; Density = 28; SurfaceArea = 9160.884177867836
Parallelepiped: a = 4, b = 7, c = 21; Density = 25; SurfaceArea = 518.0
Sphere: r = 12; Density = 17; SurfaceArea = 1809.5573684677208
Tetrahedron: a = 13; Density = 7; SurfaceArea = 292.71658647914023
Sphere: r = 4; Density = 24; SurfaceArea = 201.06192982974676
Parallelepiped: a = 18, b = 9, c = 18; Density = 7; SurfaceArea = 1296.0
Sphere: r = 12; Density = 27; SurfaceArea = 1809.5573684677208
Parallelepiped: a = 7, b = 19, c = 20; Density = 13; SurfaceArea = 1306.0
Sphere: r = 26; Density = 14; SurfaceArea = 8494.8665353068
Tetrahedron: a = 8; Density = 27; SurfaceArea = 110.85125168440814
Tetrahedron: a = 25; Density = 16; SurfaceArea = 1082.5317547305483
Sphere: r = 14; Density = 25; SurfaceArea = 2463.0086404143976
Parallelepiped: a = 8, b = 18, c = 1; Density = 9; SurfaceArea = 340.0
Parallelepiped: a = 12, b = 1, c = 17; Density = 24; SurfaceArea = 466.0
Sphere: r = 1; Density = 24; SurfaceArea = 12.566370614359172
Parallelepiped: a = 21, b = 22, c = 13; Density = 5; SurfaceArea = 2042.0
Parallelepiped: a = 4, b = 24, c = 6; Density = 1; SurfaceArea = 528.0
Parallelepiped: a = 9, b = 3, c = 24; Density = 19; SurfaceArea = 630.0
Sphere: r = 17; Density = 22; SurfaceArea = 3631.681107549801
Tetrahedron: a = 18; Density = 19; SurfaceArea = 561.1844616523163
Parallelepiped: a = 4, b = 23, c = 7; Density = 9; SurfaceArea = 562.0
Tetrahedron: a = 7; Density = 14; SurfaceArea = 84.87048957087498
Sphere: r = 28; Density = 16; SurfaceArea = 9852.03456165759
Sphere: r = 28; Density = 29; SurfaceArea = 9852.03456165759
Parallelepiped: a = 10, b = 16, c = 11; Density = 9; SurfaceArea = 892.0
Sphere: r = 20; Density = 18; SurfaceArea = 5026.548245743669
Parallelepiped: a = 15, b = 17, c = 26; Density = 7; SurfaceArea = 2174.0
Tetrahedron: a = 2; Density = 28; SurfaceArea = 6.928203230275509
Tetrahedron: a = 24; Density = 18; SurfaceArea = 997.6612651596732
Parallelepiped: a = 3, b = 9, c = 25; Density = 28; SurfaceArea = 654.0
Sphere: r = 1; Density = 25; SurfaceArea = 12.566370614359172
Parallelepiped: a = 7, b = 7, c = 1; Density = 20; SurfaceArea = 126.0
Parallelepiped: a = 4, b = 21, c = 14; Density = 13; SurfaceArea = 868.0
Sphere: r = 24; Density = 25; SurfaceArea = 7238.229473870883
Sphere: r = 29; Density = 5; SurfaceArea = 10568.317686676064
Tetrahedron: a = 29; Density = 4; SurfaceArea = 1456.6547291654258
Parallelepiped: a = 28, b = 24, c = 8; Density = 20; SurfaceArea = 2176.0
Parallelepiped: a = 2, b = 6, c = 4; Density = 11; SurfaceArea = 88.0
Sphere: r = 4; Density = 27; SurfaceArea = 201.06192982974676
Tetrahedron: a = 28; Density = 29; SurfaceArea = 1357.9278331339997
Tetrahedron: a = 1; Density = 10; SurfaceArea = 1.7320508075688772
Sphere: r = 4; Density = 28; SurfaceArea = 201.06192982974676
Tetrahedron: a = 15; Density = 22; SurfaceArea = 389.71143170299734
Tetrahedron: a = 24; Density = 27; SurfaceArea = 997.6612651596732
Tetrahedron: a = 2; Density = 8; SurfaceArea = 6.928203230275509
Parallelepiped: a = 12, b = 9, c = 22; Density = 27; SurfaceArea = 1140.0
Tetrahedron: a = 4; Density = 8; SurfaceArea = 27.712812921102035
Parallelepiped: a = 8, b = 20, c = 15; Density = 24; SurfaceArea = 1160.0
Sphere: r = 26; Density = 29; SurfaceArea = 8494.8665353068
Sphere: r = 6; Density = 30; SurfaceArea = 452.3893421169302
Sphere: r = 6; Density = 6; SurfaceArea = 452.3893421169302
Tetrahedron: a = 19; Density = 30; SurfaceArea = 625.2703415323647
Sphere: r = 21; Density = 13; SurfaceArea = 5541.769440932395
Parallelepiped: a = 28, b = 18, c = 5; Density = 13; SurfaceArea = 1468.0
Tetrahedron: a = 25; Density = 12; SurfaceArea = 1082.5317547305483
Parallelepiped: a = 21, b = 19, c = 11; Density = 29; SurfaceArea = 1678.0
Tetrahedron: a = 29; Density = 30; SurfaceArea = 1456.6547291654258
Parallelepiped: a = 8, b = 17, c = 24; Density = 7; SurfaceArea = 1472.0
Tetrahedron: a = 11; Density = 14; SurfaceArea = 209.57814771583415
Sphere: r = 27; Density = 15; SurfaceArea = 9160.884177867836
Parallelepiped: a = 16, b = 14, c = 10; Density = 26; SurfaceArea = 1048.0
Parallelepiped: a = 23, b = 5, c = 28; Density = 15; SurfaceArea = 1798.0
Parallelepiped: a = 6, b = 1, c = 14; Density = 7; SurfaceArea = 208.0
Parallelepiped: a = 17, b = 13, c = 21; Density = 7; SurfaceArea = 1702.0
Tetrahedron: a = 15; Density = 30; SurfaceArea = 389.71143170299734
Tetrahedron: a = 12; Density = 6; SurfaceArea = 249.4153162899183
Sphere: r = 4; Density = 15; SurfaceArea = 201.06192982974676
Tetrahedron: a = 8; Density = 10; SurfaceArea = 110.85125168440814
Tetrahedron: a = 21; Density = 11; SurfaceArea = 763.8344061378748
Sphere: r = 10; Density = 2; SurfaceArea = 1256.6370614359173
Tetrahedron: a = 17; Density = 11; SurfaceArea = 500.5626833874055
Tetrahedron: a = 29; Density = 15; SurfaceArea = 1456.6547291654258
Sphere: r = 19; Density = 25; SurfaceArea = 4536.459791783661
Tetrahedron: a = 2; Density = 23; SurfaceArea = 6.928203230275509
Tetrahedron: a = 11; Density = 16; SurfaceArea = 209.57814771583415
Sphere: r = 4; Density = 19; SurfaceArea = 201.06192982974676
Tetrahedron: a = 2; Density = 15; SurfaceArea = 6.928203230275509
Tetrahedron: a = 8; Density = 15; SurfaceArea = 110.85125168440814
Tetrahedron: a = 24; Density = 22; SurfaceArea = 997.6612651596732
Tetrahedron: a = 11; Density = 10; SurfaceArea = 209.57814771583415
Parallelepiped: a = 4, b = 10, c = 29; Density = 24; SurfaceArea = 892.0
Parallelepiped: a = 27, b = 8, c = 26; Density = 22; SurfaceArea = 2252.0
Sphere: r = 20; Density = 10; SurfaceArea = 5026.548245743669
Tetrahedron: a = 24; Density = 17; SurfaceArea = 997.6612651596732
Sphere: r = 28; Density = 15; SurfaceArea = 9852.03456165759
Parallelepiped: a = 5, b = 15, c = 13; Density = 11; SurfaceArea = 670.0
Tetrahedron: a = 14; Density = 26; SurfaceArea = 339.4819582834999
Sphere: r = 14; Density = 20; SurfaceArea = 2463.0086404143976
Tetrahedron: a = 28; Density = 21; SurfaceArea = 1357.9278331339997
Parallelepiped: a = 3, b = 8, c = 30; Density = 22; SurfaceArea = 708.0
Tetrahedron: a = 11; Density = 29; SurfaceArea = 209.57814771583415
Sphere: r = 21; Density = 26; SurfaceArea = 5541.769440932395
Tetrahedron: a = 1; Density = 2; SurfaceArea = 1.7320508075688772
Tetrahedron: a = 26; Density = 3; SurfaceArea = 1170.866345916561
Tetrahedron: a = 3; Density = 27; SurfaceArea = 15.588457268119894
Parallelepiped: a = 24, b = 7, c = 1; Density = 3; SurfaceArea = 398.0
Parallelepiped: a = 13, b = 25, c = 9; Density = 12; SurfaceArea = 1334.0
Sphere: r = 30; Density = 12; SurfaceArea = 11309.733552923255
Sphere: r = 25; Density = 3; SurfaceArea = 7853.981633974483
Tetrahedron: a = 18; Density = 6; SurfaceArea = 561.1844616523163
Tetrahedron: a = 27; Density = 25; SurfaceArea = 1262.6650387177115
Tetrahedron: a = 11; Density = 3; SurfaceArea = 209.57814771583415
Parallelepiped: a = 6, b = 10, c = 24; Density = 6; SurfaceArea = 888.0
Parallelepiped: a = 14, b = 6, c = 19; Density = 1; SurfaceArea = 928.0
Sphere: r = 3; Density = 5; SurfaceArea = 113.09733552923255
Tetrahedron: a = 9; Density = 27; SurfaceArea = 140.29611541307906
Parallelepiped: a = 1, b = 23, c = 28; Density = 20; SurfaceArea = 1390.0
Parallelepiped: a = 12, b = 1, c = 4; Density = 13; SurfaceArea = 128.0
Parallelepiped: a = 23, b = 13, c = 30; Density = 15; SurfaceArea = 2758.0
Tetrahedron: a = 15; Density = 9; SurfaceArea = 389.71143170299734
Sphere: r = 6; Density = 13; SurfaceArea = 452.3893421169302
Tetrahedron: a = 29; Density = 19; SurfaceArea = 1456.6547291654258
Tetrahedron: a = 18; Density = 5; SurfaceArea = 561.1844616523163
Tetrahedron: a = 13; Density = 3; SurfaceArea = 292.71658647914023
Tetrahedron: a = 3; Density = 2; SurfaceArea = 15.588457268119894
Tetrahedron: a = 1; Density = 12; SurfaceArea = 1.7320508075688772
Sphere: r = 4; Density = 26; SurfaceArea = 201.06192982974676
Sphere: r = 17; Density = 20; SurfaceArea = 3631.681107549801
Sphere: r = 17; Density = 18; SurfaceArea = 3631.681107549801
Sphere: r = 22; Density = 15; SurfaceArea = 6082.12337734984
Tetrahedron: a = 27; Density = 18; SurfaceArea = 1262.6650387177115
Sphere: r = 15; Density = 28; SurfaceArea = 2827.4333882308138
Sphere: r = 4; Density = 19; SurfaceArea = 201.06192982974676
Tetrahedron: a = 20; Density = 25; SurfaceArea = 692.8203230275509
Sphere: r = 8; Density = 17; SurfaceArea = 804.247719318987
Tetrahedron: a = 10; Density = 16; SurfaceArea = 173.20508075688772
Sphere: r = 5; Density = 11; SurfaceArea = 314.1592653589793
Sphere: r = 21; Density = 7; SurfaceArea = 5541.769440932395
Sphere: r = 8; Density = 11; SurfaceArea = 804.247719318987
Tetrahedron: a = 9; Density = 19; SurfaceArea = 140.29611541307906
Parallelepiped: a = 4, b = 24, c = 12; Density = 18; SurfaceArea = 864.0
Tetrahedron: a = 15; Density = 23; SurfaceArea = 389.71143170299734
Tetrahedron: a = 12; Density = 10; SurfaceArea = 249.4153162899183
Parallelepiped: a = 30, b = 14, c = 21; Density = 2; SurfaceArea = 2688.0
Tetrahedron: a = 29; Density = 14; SurfaceArea = 1456.6547291654258
Tetrahedron: a = 25; Density = 1; SurfaceArea = 1082.5317547305483
Sphere: r = 23; Density = 19; SurfaceArea = 6647.610054996002
Sphere: r = 28; Density = 16; SurfaceArea = 9852.03456165759
Sphere: r = 3; Density = 12; SurfaceArea = 113.09733552923255
Tetrahedron: a = 14; Density = 23; SurfaceArea = 339.4819582834999
Tetrahedron: a = 3; Density = 30; SurfaceArea = 15.588457268119894
Parallelepiped: a = 28, b = 6, c = 19; Density = 8; SurfaceArea = 1628.0
Sphere: r = 10; Density = 23; SurfaceArea = 1256.6370614359173
Parallelepiped: a = 6, b = 9, c = 13; Density = 27; SurfaceArea = 498.0
Sphere: r = 11; Density = 24; SurfaceArea = 1520.53084433746
Tetrahedron: a = 26; Density = 22; SurfaceArea = 1170.866345916561
Parallelepiped: a = 12, b = 19, c = 28; Density = 3; SurfaceArea = 2192.0
Sphere: r = 5; Density = 14; SurfaceArea = 314.1592653589793
Tetrahedron: a = 25; Density = 10; SurfaceArea = 1082.5317547305483
Sphere: r = 20; Density = 17; SurfaceArea = 5026.548245743669
Parallelepiped: a = 5, b = 25, c = 29; Density = 9; SurfaceArea = 1990.0
Tetrahedron: a = 4; Density = 25; SurfaceArea = 27.712812921102035
Tetrahedron: a = 15; Density = 22; SurfaceArea = 389.71143170299734
Tetrahedron: a = 12; Density = 20; SurfaceArea = 249.4153162899183
Parallelepiped: a = 7, b = 28, c = 15; Density = 14; SurfaceArea = 1442.0
Tetrahedron: a = 3; Density = 30; SurfaceArea = 15.588457268119894
Tetrahedron: a = 8; Density = 21; SurfaceArea = 110.85125168440814
Parallelepiped: a = 16, b = 17, c = 23; Density = 2; SurfaceArea = 2062.0
Parallelepiped: a = 23, b = 13, c = 13; Density = 6; SurfaceArea = 1534.0
Parallelepiped: a = 14, b = 6, c = 24; Density = 3; SurfaceArea = 1128.0
Tetrahedron: a = 26; Density = 17; SurfaceArea = 1170.866345916561
Sphere: r = 8; Density = 26; SurfaceArea = 804.247719318987
Sphere: r = 26; Density = 9; SurfaceArea = 8494.8665353068
Parallelepiped: a = 19, b = 28, c = 16; Density = 16; SurfaceArea = 2568.0
Sphere: r = 26; Density = 11; SurfaceArea = 8494.8665353068
Tetrahedron: a = 2; Density = 9; SurfaceArea = 6.928203230275509
Tetrahedron: a = 16; Density = 25; SurfaceArea = 443.40500673763256
Sphere: r = 18; Density = 21; SurfaceArea = 4071.5040790523717
Tetrahedron: a = 6; Density = 14; SurfaceArea = 62.35382907247958
Sphere: r = 7; Density = 22; SurfaceArea = 615.7521601035994
Parallelepiped: a = 23, b = 12, c = 18; Density = 1; SurfaceArea = 1812.0
Tetrahedron: a = 13; Density = 12; SurfaceArea = 292.71658647914023
Tetrahedron: a = 6; Density = 3; SurfaceArea = 62.35382907247958
Parallelepiped: a = 12, b = 4, c = 20; Density = 5; SurfaceArea = 736.0
Sphere: r = 4; Density = 8; SurfaceArea = 201.06192982974676
Sphere: r = 28; Density = 9; SurfaceArea = 9852.03456165759
Sphere: r = 20; Density = 9; SurfaceArea = 5026.548245743669
Parallelepiped: a = 7, b = 20, c = 4; Density = 18; SurfaceArea = 496.0
Parallelepiped: a = 19, b = 2, c = 25; Density = 7; SurfaceArea = 1126.0
Sphere: r = 4; Density = 16; SurfaceArea = 201.06192982974676
Sphere: r = 30; Density = 21; SurfaceArea = 11309.733552923255
Parallelepiped: a = 26, b = 6, c = 11; Density = 7; SurfaceArea = 1016.0
Parallelepiped: a = 19, b = 27, c = 24; Density = 18; SurfaceArea = 3234.0
Parallelepiped: a = 5, b = 24, c = 18; Density = 22; SurfaceArea = 1284.0
Sphere: r = 18; Density = 29; SurfaceArea = 4071.5040790523717
Sphere: r = 27; Density = 1; SurfaceArea = 9160.884177867836
Sphere: r = 18; Density = 19; SurfaceArea = 4071.5040790523717
Sphere: r = 13; Density = 4; SurfaceArea = 2123.7166338267
Tetrahedron: a = 2; Density = 24; SurfaceArea = 6.928203230275509
Tetrahedron: a = 22; Density = 7; SurfaceArea = 838.3125908633366
Parallelepiped: a = 10, b = 2, c = 3; Density = 30; SurfaceArea = 112.0
Sphere: r = 15; Density = 5; SurfaceArea = 2827.4333882308138
Tetrahedron: a = 6; Density = 8; SurfaceArea = 62.35382907247958
Tetrahedron: a = 7; Density = 23; SurfaceArea = 84.87048957087498
Parallelepiped: a = 7, b = 4, c = 12; Density = 4; SurfaceArea = 320.0
Sphere: r = 28; Density = 27; SurfaceArea = 9852.03456165759
Sphere: r = 24; Density = 12; SurfaceArea = 7238.229473870883
Sphere: r = 23; Density = 25; SurfaceArea = 6647.610054996002
Parallelepiped: a = 29, b = 11, c = 13; Density = 26; SurfaceArea = 1678.0
Tetrahedron: a = 16; Density = 9; SurfaceArea = 443.40500673763256
Sphere: r = 28; Density = 12; SurfaceArea = 9852.03456165759
Tetrahedron: a = 14; Density = 13; SurfaceArea = 339.4819582834999
Tetrahedron: a = 18; Density = 17; SurfaceArea = 561.1844616523163
Sphere: r = 16; Density = 16; SurfaceArea = 3216.990877275948
Sphere: r = 9; Density = 5; SurfaceArea = 1017.8760197630929
Parallelepiped: a = 2, b = 3, c = 2; Density = 22; SurfaceArea = 32.0
Sphere: r = 11; Density = 7; SurfaceArea = 1520.53084433746
Tetrahedron: a = 1; Density = 8; SurfaceArea = 1.7320508075688772
Tetrahedron: a = 2; Density = 24; SurfaceArea = 6.928203230275509
Parallelepiped: a = 26, b = 19, c = 23; Density = 27; SurfaceArea = 3058.0
Parallelepiped: a = 5, b = 24, c = 28; Density = 28; SurfaceArea = 1864.0
Tetrahedron: a = 26; Density = 27; SurfaceArea = 1170.866345916561
Parallelepiped: a = 3, b = 29, c = 11; Density = 24; SurfaceArea = 878.0
Sphere: r = 10; Density = 9; SurfaceArea = 1256.6370614359173
Sphere: r = 1; Density = 20; SurfaceArea = 12.566370614359172
Parallelepiped: a = 13, b = 16, c = 18; Density = 25; SurfaceArea = 1460.0
Tetrahedron: a = 16; Density = 2; SurfaceArea = 443.40500673763256
Sphere: r = 8; Density = 13; SurfaceArea = 804.247719318987
Parallelepiped: a = 13, b = 2, c = 19; Density = 15; SurfaceArea = 622.0
Parallelepiped: a = 18, b = 15, c = 3; Density = 22; SurfaceArea = 738.0
Parallelepiped: a = 25, b = 24, c = 20; Density = 20; SurfaceArea = 3160.0
Parallelepiped: a = 1, b = 16, c = 8; Density = 6; SurfaceArea = 304.0
Parallelepiped: a = 10, b = 30, c = 20; Density = 23; SurfaceArea = 2200.0
Tetrahedron: a = 11; Density = 25; SurfaceArea = 209.57814771583415
Tetrahedron: a = 3; Density = 7; SurfaceArea = 15.588457268119894
Sphere: r = 26; Density = 12; SurfaceArea = 8494.8665353068
Sphere: r = 21; Density = 12; SurfaceArea = 5541.769440932395
Sphere: r = 21; Density = 6; SurfaceArea = 5541.769440932395
